,name,followers,current_viewers,days,hours,minutes,test
6797,ek0p,35877,288,2,9,40,2015-06-02 09:40:00
7504,itshafu,312887,2017,2,17,20,2015-06-02 17:20:00
7529,itshafu,312887,2150,2,17,30,2015-06-02 17:30:00
7553,itshafu,312887,3084,2,17,50,2015-06-02 17:50:00
7578,itshafu,312887,3069,2,18,0,2015-06-02 18:00:00
7603,itshafu,312887,3734,2,18,10,2015-06-02 18:10:00
7628,itshafu,312948,3808,2,18,20,2015-06-02 18:20:00
7652,itshafu,312948,4204,2,18,30,2015-06-02 18:30:00
7676,itshafu,312948,4320,2,18,40,2015-06-02 18:40:00
7701,itshafu,312948,4704,2,19,0,2015-06-02 19:00:00
7726,itshafu,312948,5460,2,19,10,2015-06-02 19:10:00
7751,itshafu,313017,5028,2,19,20,2015-06-02 19:20:00
7776,itshafu,313017,4674,2,19,30,2015-06-02 19:30:00
7801,itshafu,313017,4805,2,19,40,2015-06-02 19:40:00
7826,itshafu,313017,4913,2,19,50,2015-06-02 19:50:00
7851,itshafu,313017,4837,2,20,0,2015-06-02 20:00:00
7877,itshafu,313017,4755,2,20,10,2015-06-02 20:10:00
7901,itshafu,313074,5223,2,20,20,2015-06-02 20:20:00
7927,itshafu,313074,4854,2,20,30,2015-06-02 20:30:00
7952,itshafu,313074,4518,2,20,40,2015-06-02 20:40:00
7976,itshafu,313074,4479,2,20,50,2015-06-02 20:50:00
8001,itshafu,313074,4667,2,21,0,2015-06-02 21:00:00
8026,itshafu,313074,4855,2,21,10,2015-06-02 21:10:00
8051,itshafu,313143,4871,2,21,20,2015-06-02 21:20:00
8075,itshafu,313143,7057,2,21,40,2015-06-02 21:40:00
8100,itshafu,313143,7382,2,21,50,2015-06-02 21:50:00
8125,itshafu,313143,7506,2,22,0,2015-06-02 22:00:00
8150,itshafu,313143,7584,2,22,10,2015-06-02 22:10:00
8175,itshafu,313222,7736,2,22,20,2015-06-02 22:20:00
8200,itshafu,313222,7850,2,22,30,2015-06-02 22:30:00
8225,itshafu,313222,7685,2,22,40,2015-06-02 22:40:00
8250,itshafu,313222,7592,2,22,50,2015-06-02 22:50:00
8275,itshafu,313222,7641,2,23,0,2015-06-02 23:00:00
8300,itshafu,313324,7207,2,23,20,2015-06-02 23:20:00
8325,itshafu,313324,7528,2,23,30,2015-06-02 23:30:00
8350,itshafu,313324,8008,2,23,40,2015-06-02 23:40:00
8375,itshafu,313324,8078,2,23,50,2015-06-02 23:50:00
8400,itshafu,313324,7680,3,0,0,2015-06-03 00:00:00
8425,itshafu,313324,8565,3,0,10,2015-06-03 00:10:00
8450,itshafu,313455,7899,3,0,20,2015-06-03 00:20:00
8475,itshafu,313455,9383,3,0,40,2015-06-03 00:40:00
8500,itshafu,313455,9955,3,0,50,2015-06-03 00:50:00
8525,itshafu,313455,9873,3,1,0,2015-06-03 01:00:00
8550,itshafu,313618,9725,3,1,20,2015-06-03 01:20:00
8575,itshafu,313618,9218,3,1,30,2015-06-03 01:30:00
8600,itshafu,313618,9382,3,1,40,2015-06-03 01:40:00
8625,itshafu,313618,9044,3,1,50,2015-06-03 01:50:00
8650,itshafu,313618,8181,3,2,0,2015-06-03 02:00:00
8675,itshafu,313716,9143,3,2,20,2015-06-03 02:20:00
8700,itshafu,313716,9080,3,2,30,2015-06-03 02:30:00
8725,itshafu,313716,8723,3,2,40,2015-06-03 02:40:00
8750,itshafu,313716,8013,3,2,50,2015-06-03 02:50:00
8775,itshafu,313716,8725,3,3,0,2015-06-03 03:00:00
8800,itshafu,313716,9147,3,3,10,2015-06-03 03:10:00
8825,itshafu,313787,9661,3,3,20,2015-06-03 03:20:00
8850,itshafu,313787,8891,3,3,30,2015-06-03 03:30:00
8851,massansc,168436,5516,3,3,30,2015-06-03 03:30:00
8875,itshafu,313787,8407,3,3,40,2015-06-03 03:40:00
